t,s
4.97,616
7.73,600
10.46,591
13.16,585
15.89,580
18.65,576
21.35,575
24.05,575
26.78,576
29.55,576
32.31,574
35.04,574
37.71,575
40.50,575
43.13,576
45.87,574
48.53,572
51.23,572
53.93,570
56.66,570
