t,s
1.16,700
3.79,698
6.36,697
8.92,694
11.49,691
14.08,687
16.72,683
19.28,682
21.88,681
24.48,677
27.04,675
29.61,673
32.24,671
34.77,670
37.37,670
39.93,668
42.56,669
45.09,669
47.66,670
50.26,671
52.85,671
55.42,670
57.98,667
60.58,666
63.18,663
65.74,659
68.31,657
70.81,659
