480,5.38,5.25,5.45
380,4.69,4.54,4.44
280,3.71,3.83,3.77
230,3.16,3.13,3.15
180,2.88,2.83,2.83
130,2.63,2.39,2.75
580,5.77,5.53,5.59
#680,6.89,6.68,6.77
